Domaine,Sujet,Détails,Question 1,Réponse 1,Explication 1,Question 2,Réponse 2,Explication 2,Question 3,Réponse 3,Explication 3,Question 4,Réponse 4,Explication 4,Question 5,Réponse 5,Explication 5,Question 6,Réponse 6,Explication 6,Question 7,Réponse 7,Explication 7,Question 8,Réponse 8,Explication 8,Question 9,Réponse 9,Explication 9,Question 10,Réponse 10,Explication 10
Cybersécurité : Protection,Gestion des accès et Identité,"Infrastructure à clés publiques (PKI), MFA (Multi-Factor Authentication), OTP (One Time Password), Zéro Trust, SASE.",Que signifie l'acronyme MFA ?,Multi-Factor Authentication (Authentification multifacteur).,Cela exige au moins deux preuves d'identité différentes (comme un mot de passe et un code SMS) pour se connecter augmentant considérablement la sécurité.,Qu'est-ce qu'un OTP ?,Un One Time Password est un mot de passe à usage unique.,Il est généré pour une seule session de connexion et expire rapidement ce qui le rend inutile pour un pirate s'il est intercepté plus tard.,Quel est le rôle principal d'une PKI (Infrastructure à Clés Publiques) ?,Créer gérer distribuer et révoquer des certificats numériques.,La PKI permet de garantir l'identité des utilisateurs et des équipements sur le réseau en s'appuyant sur la cryptographie asymétrique.,Quel est le principe fondamental de l'architecture Zéro Trust (Zéro Confiance) ?,Ne faire confiance à aucun utilisateur ou équipement par défaut même s'il est déjà sur le réseau interne.,Chaque demande d'accès doit être systématiquement vérifiée authentifiée et chiffrée quelle que soit son origine.,Qu'est-ce qu'un jeton matériel (hardware token) dans le cadre de l'authentification ?,Un petit appareil physique qui génère des codes temporaires ou se branche en USB pour prouver l'identité de l'utilisateur.,Les clés YubiKey ou les générateurs de codes RSA SecurID sont des exemples courants de jetons matériels très sécurisés.,Dans une PKI à quoi sert l'Autorité de Certification (CA) ?,C'est l'entité de confiance qui signe et émet les certificats numériques.,La CA lie une clé publique à l'identité d'un utilisateur ou d'un serveur garantissant ainsi que cette clé appartient bien à la bonne personne.,Quels sont les trois facteurs d'authentification possibles pour le MFA ?,Ce que je sais (mot de passe) ce que je possède (smartphone/jeton) et ce que je suis (biométrie).,Une bonne authentification multifacteur combine au moins deux de ces catégories distinctes pour valider l'accès.,Que signifie le concept SASE (Secure Access Service Edge) ?,Une architecture qui combine les services réseau et les services de sécurité directement dans le cloud.,SASE permet de sécuriser directement l'accès des utilisateurs nomades aux applications cloud sans avoir à rapatrier tout leur trafic vers le réseau physique de l'entreprise.,Dans le modèle Zéro Trust comment applique-t-on le principe de micro-segmentation ?,En divisant le réseau en zones très petites et sécurisées jusqu'au niveau de l'application individuelle.,Si un attaquant compromet un serveur il sera bloqué par la micro-segmentation et ne pourra pas se déplacer latéralement vers les autres serveurs du réseau.,Comment une application comme Microsoft Authenticator fonctionne-t-elle comme second facteur par rapport à un simple SMS ?,Elle utilise des notifications push cryptées via Internet ou génère des codes TOTP (Time-based OTP) localement.,C'est beaucoup plus sûr que le SMS qui est vulnérable aux attaques par échange de carte SIM (SIM swapping) ou à l'interception sur le réseau téléphonique mobile.
Cybersécurité : Détection & Audit,Détection sur les terminaux,"EDR (Endpoint Detection and Response), MDR, antivirus.",Qu'est-ce qu'un antivirus classique ?,Un logiciel conçu pour identifier neutraliser et éliminer les logiciels malveillants connus.,Il se base principalement sur une base de données de signatures virales pour détecter les menaces déjà identifiées par les éditeurs de sécurité.,Que signifie l'acronyme EDR ?,Endpoint Detection and Response (Détection et réponse sur les terminaux).,C'est une solution de sécurité qui surveille en continu les terminaux pour détecter et répondre aux cybermenaces avancées.,Quelle est la principale différence entre un antivirus classique et un EDR ?,L'antivirus se base sur des signatures connues tandis que l'EDR analyse le comportement pour détecter des menaces inconnues.,L'EDR est capable de repérer une attaque zero-day en observant des actions suspectes sur le système comme le chiffrement massif de fichiers.,Que signifie le terme Endpoint (terminal) en cybersécurité ?,Tout appareil physique connecté à un réseau informatique comme un ordinateur un smartphone ou un serveur.,Les terminaux sont souvent les cibles privilégiées des attaquants car ils constituent le point d'interaction direct avec les utilisateurs.,Qu'est-ce qu'un faux positif dans le contexte de la détection ?,C'est une alerte de sécurité déclenchée pour une action ou un fichier qui est en réalité inoffensif.,Trop de faux positifs peuvent saturer les équipes de sécurité et masquer les véritables attaques un phénomène connu sous le nom de fatigue des alertes.,Que signifie l'acronyme MDR et quel est son avantage ?,Managed Detection and Response. C'est un service d'EDR géré par un prestataire externe.,Cela permet à une entreprise de bénéficier d'une surveillance continue 24/7 et d'experts en cybersécurité sans avoir à recruter sa propre équipe interne.,Comment un EDR aide-t-il dans la phase de réponse à incident ?,Il permet d'isoler automatiquement ou manuellement une machine compromise du reste du réseau.,En coupant la connexion réseau de l'ordinateur infecté tout en gardant un accès à distance pour les analystes l'EDR empêche la propagation du malware.,Qu'est-ce que la Threat Intelligence (renseignement sur les menaces) intégrée à un EDR ?,C'est l'intégration de bases de données mondiales recensant les indicateurs de compromission (IoC) récents.,Cela permet à l'EDR de bloquer instantanément une attaque si l'adresse IP de l'attaquant ou le hash du fichier est déjà connu comme malveillant par la communauté.,Pourquoi les attaquants tentent-ils souvent de désactiver l'EDR en premier lors d'une intrusion ?,Pour devenir invisibles et exécuter leurs actions malveillantes sans déclencher d'alertes dans le centre de supervision.,Les solutions modernes intègrent des mécanismes d'autoprotection (tamper protection) pour empêcher toute modification de leurs processus même par un administrateur local.,Qu'est-ce que le processus de remédiation dans un outil EDR ?,Ce sont les actions prises pour nettoyer le système après une attaque comme la suppression de fichiers malveillants ou la restauration de clés de registre.,Certains EDR offrent une fonction de retour en arrière (rollback) capable d'annuler les modifications apportées par un ransomware en restaurant des clichés instantanés sécurisés.
Cybersécurité : Détection & Audit,Analyse réseau et comportementale,"IDS / IPS (Intrusion Detection/Prevention System), UEBA (User and Entity Behavior Analytics).",Qu'est-ce qu'un IDS ?,Intrusion Detection System ou système de détection d'intrusion.,C'est un outil qui surveille le trafic réseau ou l'activité d'un système pour détecter des activités suspectes ou malveillantes sans les bloquer.,Qu'est-ce qu'un IPS ?,Intrusion Prevention System ou système de prévention d'intrusion.,Contrairement à l'IDS l'IPS a la capacité de bloquer automatiquement le trafic identifié comme malveillant en temps réel.,Quelle est la différence majeure entre un IDS et un IPS ?,L'IDS alerte uniquement alors que l'IPS agit pour stopper la menace.,L'IDS est souvent configuré en mode écoute sur un port miroir tandis que l'IPS est placé directement sur le chemin du trafic en mode inline.,Dans le contexte d'un IDS qu'est-ce qu'une signature ?,Un modèle ou une empreinte correspondant à une attaque connue.,La détection par signature compare les paquets réseau à une base de données de motifs d'attaques préalablement identifiés par des chercheurs en sécurité.,Où place-t-on généralement un IDS ou IPS réseau ?,À des points stratégiques du réseau comme juste derrière le pare-feu ou entre différents segments.,Le placement dépend de ce que l'on veut surveiller : le trafic entrant depuis Internet ou les mouvements latéraux entre les zones internes de l'entreprise.,Quelle est la différence entre un NIDS et un HIDS ?,Le NIDS surveille le réseau global alors que le HIDS est installé directement sur un hôte spécifique.,Un NIDS analyse les paquets circulant sur le câble alors qu'un HIDS analyse les journaux système et l'intégrité des fichiers d'un serveur ou d'un poste de travail.,Que signifie l'acronyme UEBA ?,User and Entity Behavior Analytics ou analyse du comportement des utilisateurs et des entités.,C'est une technologie qui utilise le machine learning pour établir un profil comportemental normal et détecter des déviations suspectes.,Comment l'UEBA complète-t-il un SIEM traditionnel ?,L'UEBA se concentre sur les anomalies de comportement plutôt que sur des règles statiques.,Alors qu'un SIEM classique cherche des événements précis l'UEBA détectera qu'un utilisateur accède soudainement à des fichiers inhabituels à une heure anormale.,Qu'est-ce que la détection basée sur les anomalies par rapport à la signature ?,La détection d'anomalies cherche des écarts par rapport à une base de référence normale.,Cette méthode est efficace contre les attaques inconnues car elle ne nécessite pas de connaître l'attaque à l'avance mais elle génère souvent plus de faux positifs.,Qu'est-ce qu'un faux négatif en détection d'intrusion ?,C'est une attaque réelle qui n'a pas été détectée par le système de sécurité.,C'est la situation la plus dangereuse car l'administrateur pense être en sécurité alors qu'une intrusion est en cours sans générer d'alerte.
Cybersécurité : Détection & Audit,Centralisation (SOC),"SIEM, SOAR, XDR, rôles et organisation d'un SOC, offres des prestataires MSSP.",Que signifie l'acronyme SOC ?,Security Operations Center ou Centre d'opérations de sécurité.,C'est une équipe et une structure technique chargées de surveiller et d'analyser la sécurité d'une organisation en continu pour détecter et répondre aux cybermenaces.,Que signifie l'acronyme SIEM ?,Security Information and Event Management.,C'est un logiciel qui centralise les journaux d'événements (logs) de tout le système d'information pour permettre une analyse et une détection globale des incidents.,Quel est le rôle principal d'un SIEM ?,Collecter normaliser et corréler les événements pour identifier des comportements suspects.,Le SIEM permet de faire le lien entre des actions isolées qui prises ensemble révèlent une attaque complexe qu'un outil seul ne verrait pas.,Qu'est-ce qu'un log dans le contexte d'un SOC ?,C'est un enregistrement chronologique d'un événement survenu sur un système ou une application.,Les logs sont la trace numérique indispensable pour comprendre le déroulement d'une attaque et servent de base de travail aux analystes du SOC.,Citez un rôle courant au sein d'une équipe SOC.,L'analyste SOC.,L'analyste surveille les tableaux de bord qualifie les alertes et mène les premières investigations pour déterminer si une alerte est un vrai incident ou un faux positif.,Quelle est la différence majeure entre un SIEM et un SOAR ?,Le SIEM se concentre sur la détection et l'alerte alors que le SOAR se concentre sur l'automatisation de la réponse.,Le SOAR (Security Orchestration Automation and Response) permet de créer des flux de travail automatisés pour traiter les incidents plus rapidement et réduire la charge des analystes.,Qu'est-ce que l'XDR (Extended Detection and Response) ?,Une solution qui intègre et corrèle les données de sécurité provenant de plusieurs couches comme les terminaux le réseau et le cloud.,L'XDR offre une visibilité plus large que l'EDR classique en brisant les silos entre les différents outils de sécurité pour une détection plus cohérente.,Quelle est la différence entre un analyste SOC de niveau 1 (Tier 1) et de niveau 2 (Tier 2) ?,Le niveau 1 effectue le tri initial des alertes tandis que le niveau 2 réalise des investigations poussées et de la recherche de menaces.,Si un incident est complexe ou critique l'analyste N1 effectue une escalade vers le niveau 2 qui possède une expertise technique plus approfondie.,Qu'est-ce qu'un cas d'usage (Use Case) dans un SIEM ?,C'est une règle de détection logique configurée pour identifier une menace ou un scénario d'attaque spécifique.,Par exemple un cas d'usage peut alerter si un administrateur se connecte depuis un pays inhabituel à une heure où il n'est pas censé travailler.,À quoi sert un Playbook dans un outil SOAR ?,C'est une procédure automatisée qui définit les étapes à suivre pour répondre à un type d'incident précis.,Un playbook pour un malware peut par exemple isoler la machine du réseau scanner le fichier suspect et réinitialiser le mot de passe de l'utilisateur automatiquement.
Cybersécurité : Détection & Audit,Réponse à incident,"Procédures d'escalade, préservation de preuves numériques/traces, CERT, RETEX (Retour d'expérience).",Qu'est-ce qu'un incident de sécurité ?,Un événement indésirable ou inattendu qui présente une probabilité forte de compromettre les opérations et de menacer la sécurité de l'information.,Un incident peut être une infection par un virus une intrusion réussie ou une panne matérielle majeure impactant la confidentialité l'intégrité ou la disponibilité des données.,Que signifie l'acronyme CERT ?,Computer Emergency Response Team.,C'est une unité d'experts chargée de centraliser les signalements d'incidents de sécurité et de coordonner les actions de défense et de remédiation au sein d'une organisation ou d'un pays.,Quel est le but premier de la réponse à incident ?,Minimiser l'impact de l'attaque et rétablir les services le plus rapidement possible tout en préservant les preuves.,La réponse à incident est un processus structuré visant à identifier contenir et éradiquer une menace pour limiter les pertes financières et réputationnelles.,Qu'est-ce qu'une procédure d'escalade ?,Un protocole définissant quand et comment alerter les niveaux supérieurs de responsabilité ou d'expertise technique.,Si un technicien de niveau 1 ne peut résoudre un incident complexe il suit la procédure d'escalade pour passer le relais au niveau 2 ou à la direction si l'impact est critique.,Pourquoi faut-il documenter un incident dès sa détection ?,Pour assurer la traçabilité des actions menées et faciliter les analyses ultérieures ainsi que les démarches juridiques.,Un journal d'incident (logbook) permet de ne rien oublier lors de l'investigation et sert de preuve sur la chronologie exacte des événements survenus.,Expliquez la phase de confinement dans le cycle de réponse à incident.,C'est l'étape consistant à isoler le système compromis pour empêcher la propagation de la menace au reste du réseau.,Le confinement peut être physique en débranchant le câble ou logique via des règles de pare-feu spécifiques afin d'arrêter l'exfiltration de données.,Qu'est-ce que la chaîne de possession (chain of custody) pour une preuve numérique ?,C'est un processus documenté qui suit le parcours d'une preuve depuis sa collecte jusqu'à sa présentation devant un tribunal.,Elle garantit que la preuve n'a pas été altérée ou falsifiée durant son stockage ou son analyse ce qui est crucial pour la recevabilité juridique lors d'un procès.,Quel est l'objectif d'un RETEX (Retour d'Expérience) après un incident ?,Analyser les causes de l'incident et l'efficacité de la réponse pour améliorer les procédures de sécurité futures.,Le RETEX permet de tirer des leçons apprises afin d'éviter la répétition du même incident et de renforcer les défenses globales de l'organisation.,Quelle est la différence entre un CERT et un CSIRT ?,CSIRT (Computer Security Incident Response Team) est le terme générique tandis que CERT est une marque déposée par l'université Carnegie Mellon.,En pratique les deux désignent des équipes d'intervention. En France le CERT-FR est l'organisme national géré par l'ANSSI pour traiter les cyberattaques majeures.,Comment procède-t-on pour préserver la mémoire vive (RAM) d'une machine suspecte ?,On effectue une capture ou un dump de la RAM avant d'éteindre ou de redémarrer la machine pour ne pas perdre les données volatiles.,La RAM contient des informations précieuses comme des clés de chiffrement des processus malveillants actifs ou des mots de passe qui disparaissent lors de la coupure électrique.
Cybersécurité : Détection & Audit,Audits et Tests d'intrusion,"Audit interne/externe (lettre de mission tierce), approche WhiteBox, distribution Kali Linux, bases de vulnérabilités CVE / CWE.",Qu'est-ce qu'un test d'intrusion (Pentest) ?,Une méthode d'évaluation de la sécurité consistant à simuler une attaque contre un système informatique.,Cela permet d'identifier les vulnérabilités exploitables avant qu'un véritable attaquant ne les utilise afin de renforcer les défenses.,Que signifie l'acronyme CVE ?,Common Vulnerabilities and Exposures.,C'est un dictionnaire de références pour les vulnérabilités de sécurité connues du public dans les logiciels et matériels informatiques.,Quelle est la différence entre un audit interne et un audit externe ?,L'audit interne est réalisé par le personnel de l'organisation tandis que l'audit externe est mené par un tiers indépendant.,L'audit externe offre souvent un regard plus neutre et objectif alors que l'audit interne permet un suivi et un contrôle continu.,Citez une distribution Linux célèbre utilisée pour les tests d'intrusion.,La distribution Kali Linux.,C'est une distribution basée sur Debian qui regroupe nativement des centaines d'outils dédiés à la sécurité et aux tests de pénétration.,Qu'est-ce qu'une vulnérabilité informatique ?,Une faiblesse dans un système un logiciel ou un réseau qui peut être exploitée par une menace.,Une vulnérabilité seule n'est pas un risque majeur mais elle le devient si une menace peut l'exploiter pour nuire à l'organisation.,Expliquez la différence entre les approches Black Box Grey Box et White Box.,Black Box simule un attaquant externe sans connaissance du système Grey Box donne quelques accès et White Box fournit un accès complet à la documentation.,Plus l'auditeur dispose d'informations de départ (approche White Box) plus l'audit peut être approfondi et couvrir des failles de logique complexe.,À quoi sert la base de données CWE (Common Weakness Enumeration) par rapport aux CVE ?,CVE identifie des vulnérabilités spécifiques alors que CWE classifie les types de faiblesses logicielles de manière générique.,Une CVE est une instance précise d'un problème (ex: vulnérabilité X dans le logiciel Y) tandis que CWE décrit la nature de la faille (ex: injection SQL).,Qu'est-ce qu'une lettre de mission dans le cadre d'un audit de sécurité ?,Un document contractuel qui définit le périmètre les objectifs les dates et les limites juridiques de l'audit.,Elle protège l'auditeur contre des poursuites pénales et définit précisément ce qui est autorisé ou strictement interdit lors des tests.,Quel est l'objectif de la phase de Reconnaissance dans un test d'intrusion ?,Collecter un maximum d'informations sur la cible pour identifier la surface d'attaque.,Cette étape appelée aussi Footprinting permet de découvrir les domaines les adresses IP et les technologies utilisées sans nécessairement interagir avec le système.,Pourquoi est-il important de calculer le score CVSS d'une vulnérabilité ?,Pour prioriser le traitement des failles en fonction de leur gravité technique et de leur facilité d'exploitation.,Le score CVSS (Common Vulnerability Scoring System) va de 0 à 10 et aide les administrateurs à décider quelle faille corriger en priorité absolue.
Cybersécurité : Détection & Audit,Acteurs et Prestataires,Interventions et rôle des PASSI (Prestataires d'audit de la sécurité des systèmes d'information qualifiés).,Que signifie l'acronyme PASSI ?,Prestataires d'Audit de la Sécurité des Systèmes d'Information.,C'est une qualification délivrée par l'ANSSI garantissant la compétence des prestataires et la déontologie des auditeurs lors des audits de sécurité.,Quel est le rôle principal d'un PASSI ?,Réaliser des audits de sécurité informatique selon un référentiel rigoureux.,Les prestataires qualifiés PASSI interviennent pour évaluer le niveau de sécurité des systèmes d'information des administrations et des entreprises critiques.,Qui délivre la qualification PASSI en France ?,L'ANSSI (Agence Nationale de la Sécurité des Systèmes d'Information).,L'ANSSI audite elle-même les entreprises de services du numérique pour s'assurer qu'elles respectent les exigences de sécurité et de confidentialité du label PASSI.,Citez un type d'audit que peut réaliser un prestataire PASSI.,L'audit d'architecture ou le test d'intrusion.,Le référentiel PASSI couvre plusieurs domaines comme l'audit d'architecture de configuration de code source de vulnérabilités ou les tests d'intrusion.,Pourquoi une administration publique préfère-t-elle souvent faire appel à un PASSI ?,Pour garantir la conformité aux exigences de l'État et la protection des données sensibles.,Faire appel à un prestataire qualifié PASSI assure que l'audit est réalisé par des experts dont la probité et la compétence technique ont été vérifiées par les services de l'État.,Quelle est la différence entre une qualification et une certification pour un prestataire de service ?,La qualification porte sur la compétence d'une entreprise à fournir un service tandis que la certification porte sur un produit ou un processus.,Dans le cadre du PASSI on parle de qualification de service car l'ANSSI valide la méthodologie de l'entreprise et les compétences de ses auditeurs.,Que signifie l'acronyme PDIS dans l'écosystème des prestataires de cybersécurité ?,Prestataire de Détection d'Incidents de Sécurité.,Les PDIS sont des prestataires qualifiés par l'ANSSI pour assurer la surveillance (SOC) et la détection d'attaques pour le compte d'Opérateurs d'Importance Vitale (OIV).,Qu'est-ce qu'un PRIS selon la nomenclature de l'ANSSI ?,Prestataire de Réponse aux Incidents de Sécurité.,Les PRIS sont des experts qualifiés pour intervenir après une cyberattaque afin d'aider l'organisation à analyser la menace et à restaurer son système d'information de manière sécurisée.,Dans le cadre d'un audit PASSI que garantit l'exigence de neutralité ?,Que l'auditeur ne doit pas avoir d'intérêt personnel ou commercial à dissimuler ou exagérer des failles.,La neutralité assure que le rapport d'audit est une image fidèle et objective de la réalité technique sans influence extérieure ou conflit d'intérêt.,Quel est l'intérêt pour un OIV (Opérateur d'Importance Vitale) de choisir exclusivement des prestataires qualifiés ?,Respecter ses obligations légales de sécurité imposées par la Loi de Programmation Militaire (LPM).,La loi impose aux OIV de recourir à des prestataires qualifiés par l'ANSSI pour garantir un niveau de protection maximal des infrastructures critiques de la Nation.
Cybersécurité : Détection & Audit,Scripting orienté Sécurité,"Utilisation et adaptation de scripts (Python, PowerShell, Bash) spécifiquement dans le cadre d'audits et d'évaluations du niveau de sécurité.",Quel est l'intérêt principal du scripting pour un audit de sécurité ?,Automatiser les vérifications répétitives et collecter des données sur un grand nombre de machines.,Le scripting permet de gagner du temps et de réduire les erreurs humaines lors de la vérification de configurations sur des centaines de serveurs.,Quel interpréteur est généralement utilisé pour exécuter des scripts d'audit sur un système Linux ?,Bash (Bourne Again Shell).,Bash est le shell par défaut sur la plupart des distributions Linux et permet d'interagir directement avec le système de fichiers et les outils réseau.,En Python quelle bibliothèque standard est souvent utilisée pour interagir avec le système d'exploitation lors d'un audit ?,La bibliothèque os ou subprocess.,Ces bibliothèques permettent de lister des fichiers vérifier des permissions ou exécuter des commandes système dont le résultat sera analysé par le script.,Dans un script PowerShell quelle commande permet de récupérer les droits d'accès sur un fichier ou un dossier ?,La cmdlet Get-Acl.,Get-Acl (Access Control List) est essentiel lors d'un audit pour vérifier qui a le droit de lire ou d'écrire dans des dossiers sensibles.,Pourquoi est-il important de tester un script d'audit dans un environnement de test avant de le lancer en production ?,Pour s'assurer qu'il ne sature pas les ressources ou qu'il ne modifie pas par erreur la configuration du système.,Un script mal conçu pourrait consommer trop de CPU ou de RAM et provoquer un déni de service sur un serveur critique.,Comment peut-on utiliser Python pour vérifier si des ports sont ouverts sur une machine distante sans utiliser d'outil externe ?,En utilisant la bibliothèque socket pour tenter des connexions sur des numéros de ports spécifiques.,Le scripting de sockets permet de créer un scanner de ports personnalisé et discret pour vérifier la politique de filtrage d'un pare-feu.,À quoi sert l'utilisation de fichiers de hash (comme MD5 ou SHA256) dans un script d'audit d'intégrité ?,À vérifier si des fichiers système ont été modifiés ou altérés par un attaquant.,Le script compare le hash actuel des fichiers critiques avec une base de référence saine. Toute différence indique une modification suspecte.,Dans un script Bash comment peut-on filtrer les logs pour ne garder que les tentatives de connexion SSH échouées ?,En utilisant la commande grep sur le fichier /var/log/auth.log avec le mot-clé Failed.,L'analyse automatisée des logs permet de détecter rapidement des attaques par force brute ou des comportements d'authentification anormaux.,Quelle est l'utilité des expressions régulières (Regex) dans un script d'audit de sécurité ?,Rechercher des motifs spécifiques comme des adresses IP des adresses mail ou des mots de passe en clair dans des fichiers.,Les Regex sont puissantes pour extraire des informations structurées au milieu d'une grande quantité de données non structurées.,Comment un script peut-il automatiser la vérification du durcissement (hardening) d'un serveur Windows par rapport au guide de l'ANSSI ?,En lisant les clés de registre et en les comparant aux valeurs de sécurité recommandées.,Le script parcourt les branches du registre (HKLM) pour vérifier que des fonctionnalités dangereuses sont désactivées et que les protocoles obsolètes sont bloqués.
Virtualisation et Datacenter,Hyperviseurs et Stockage,"Virtualisation, clustering, migration, stockage SAN, VSAN, NAS, DAS.",Qu'est-ce qu'un hyperviseur ?,Un logiciel qui permet de créer et d'exécuter des machines virtuelles.,Il isole le matériel physique des systèmes d'exploitation invités permettant ainsi de faire tourner plusieurs serveurs sur une seule machine physique.,Quelle est la différence entre un hyperviseur de Type 1 et de Type 2 ?,Le Type 1 s'installe directement sur le matériel alors que le Type 2 s'installe sur un système d'exploitation existant.,Le Type 1 (Bare Metal) comme VMware ESXi est plus performant car il n'a pas la surcharge d'un OS hôte contrairement au Type 2 comme VirtualBox.,Que signifie l'acronyme SAN ?,Storage Area Network ou réseau de stockage dédié.,C'est un réseau haute performance utilisé pour transférer des données entre des serveurs et des unités de stockage au niveau bloc.,Qu'est-ce qu'une machine virtuelle (VM) ?,Une émulation logicielle d'un ordinateur physique.,Une VM possède son propre processeur sa mémoire son disque et sa carte réseau tous virtualisés par l'hyperviseur.,Quelle est la différence principale entre un NAS et un SAN ?,Le NAS gère le stockage au niveau fichier alors que le SAN le gère au niveau bloc.,Un NAS se connecte au réseau local via Ethernet pour le partage de fichiers tandis qu'un SAN est vu par le serveur comme un disque local physique.,Qu'est-ce que le clustering de serveurs dans un environnement de virtualisation ?,Le regroupement de plusieurs serveurs physiques pour offrir une haute disponibilité.,Si un serveur physique du cluster tombe en panne les machines virtuelles qu'il hébergeait sont automatiquement redémarrées sur les autres serveurs du groupe.,Expliquez le concept de migration à chaud (Live Migration) ?,C'est le déplacement d'une machine virtuelle allumée d'un hôte physique à un autre sans interruption de service.,Cela permet d'effectuer la maintenance d'un serveur physique sans impacter les utilisateurs comme avec vMotion chez VMware.,Qu'est-ce que le iSCSI ?,Un protocole permettant de transporter des commandes SCSI sur un réseau IP.,Il permet de créer un SAN à moindre coût en utilisant l'infrastructure Ethernet existante au lieu de protocoles plus coûteux comme la Fibre Channel.,Quel est l'intérêt du RAID dans un système de stockage ?,Améliorer la tolérance aux pannes et les performances des disques.,En répartissant les données sur plusieurs disques physiques le RAID protège contre la perte d'un disque (RAID 5) ou accélère les accès (RAID 0).,Qu'est-ce que le VSAN (Virtual SAN) ?,Une solution de stockage logiciel qui agrège les disques locaux des serveurs pour créer un stockage partagé.,Cela permet de se passer d'une baie de stockage externe coûteuse en utilisant directement la capacité disque des serveurs du cluster.
Virtualisation et Datacenter,Datacenter,"Hyper-convergence, équipements matériels, gestion énergie et refroidissement.",Qu'est-ce qu'un Datacenter ?,C'est un lieu physique sécurisé regroupant des serveurs et du stockage.,Il assure la continuité de service des données grâce à une infrastructure électrique et climatique redondante.,Qu'est-ce qu'une baie (rack) informatique ?,Un châssis standardisé pour fixer les équipements réseaux et serveurs.,Elle permet une organisation optimale du câblage et une gestion efficace du flux d'air entre les machines.,À quoi sert un onduleur (UPS) dans un Datacenter ?,À fournir de l'énergie immédiatement en cas de coupure électrique.,Il protège le matériel contre les surtensions et assure le relais le temps que les groupes électrogènes prennent la relève.,Que signifie l'acronyme PUE (Power Usage Effectiveness) ?,C'est l'indicateur mesurant l'efficacité énergétique d'un Datacenter.,Plus le PUE est proche de 1 plus le Datacenter est efficace car il consomme peu d'énergie pour son refroidissement.,C'est quoi l'hyper-convergence (HCI) ?,Une architecture qui combine le calcul le stockage et le réseau dans un seul serveur.,Cela permet de simplifier la gestion du Datacenter en pilotant toute l'infrastructure par logiciel sur du matériel standard.,Expliquez le principe de l'allée chaude et de l'allée froide.,Il s'agit d'orienter les baies pour séparer l'air frais entrant de l'air chaud sortant.,Cette méthode évite les mélanges thermiques et permet de réduire drastiquement la consommation liée à la climatisation.,Quelle est la différence entre une infrastructure convergée et hyper-convergée ?,La convergée assemble des éléments matériels distincts alors que l'hyper-convergée est totalement pilotée par logiciel.,En hyper-convergence on ajoute simplement des nœuds identiques pour augmenter la puissance globale de manière horizontale.,Qu'est-ce que le Free Cooling ?,Une technique consistant à utiliser l'air extérieur pour refroidir le Datacenter.,C'est une solution écologique et économique qui réduit l'usage des climatiseurs quand la température extérieure est basse.,Que garantit la certification Tier 4 de l'Uptime Institute ?,Le plus haut niveau de résilience avec une disponibilité théorique de 99.995%.,Un Datacenter Tier 4 est entièrement redondant et tolérant aux pannes même durant les opérations de maintenance lourde.,Quelle est la différence entre un commutateur Top of Rack (ToR) et End of Row (EoR) ?,Le ToR se place en haut de chaque baie tandis que l'EoR centralise les connexions en bout de rangée.,Le ToR réduit considérablement la longueur des câbles réseau mais multiplie le nombre de commutateurs à gérer.
Virtualisation et Datacenter,Cloud Computing,"Modèles IaaS, PaaS, SaaS, Cloud public (Azure, AWS), privé, hybride, multicloud.",Quelle est la principale caractéristique du Cloud Public ?,Des ressources informatiques partagées entre plusieurs clients et accessibles via Internet.,Cela permet une scalabilité quasi infinie et un paiement à l'usage sans investissement matériel lourd initial.,Qu'est-ce que le Cloud Privé ?,Une infrastructure cloud dédiée exclusivement à une seule organisation.,Il offre un contrôle total sur les données et la sécurité mais nécessite une gestion interne plus importante et des coûts fixes plus élevés.,Comment définit-on le Cloud Hybride ?,Une solution combinant au moins un cloud privé et un cloud public fonctionnant ensemble.,Cela permet de garder les données sensibles sur site tout en profitant de la puissance de calcul du public pour les charges de travail variables.,Qu'est-ce que la stratégie Multi-cloud ?,L'utilisation simultanée de services provenant de plusieurs fournisseurs de cloud différents comme Azure et AWS.,Cette approche évite la dépendance à un seul fournisseur (vendor lock-in) et permet de choisir le meilleur service de chaque plateforme.,Dans le modèle IaaS que gère le client ?,Le système d'exploitation les applications les données et la configuration réseau.,Le fournisseur ne s'occupe que de la couche matérielle physique et de la virtualisation.,Quel est l'avantage du modèle PaaS pour les développeurs ?,Il permet de se concentrer uniquement sur le code sans gérer l'OS ou les mises à jour serveurs.,La plateforme fournit tout l'environnement nécessaire au déploiement des applications de manière automatisée.,Donnez un exemple courant de service SaaS.,Microsoft 365 ou Google Workspace.,Le logiciel est entièrement géré par le fournisseur et accessible directement via un navigateur web.,Qu'est-ce qu'un Hyperscaler ?,Un très grand fournisseur de cloud capable de déployer des ressources à une échelle mondiale massive.,Les trois principaux sont Amazon Web Services Microsoft Azure et Google Cloud Platform.,À quoi correspond le modèle de responsabilité partagée ?,À la répartition des tâches de sécurité entre le fournisseur de cloud et le client.,Plus on monte vers le SaaS plus le fournisseur assume de responsabilités alors qu'en IaaS le client en garde une grande partie.,Qu'est-ce que le concept de Cloud Bursting ?,Le basculement automatique de la charge de travail vers le cloud public lorsque le cloud privé atteint ses limites.,Cela permet de gérer des pics d'activité ponctuels sans avoir à surdimensionner l'infrastructure locale coûteuse.
